time,x,y,crs,sfcheadsubrt
2017-09-12 00:00:00,14177.640757747593,-163.39369530789554,b'',1288.2561
2017-09-12 01:00:00,14177.640757747593,-163.39369530789554,b'',1253.7948
2017-09-12 02:00:00,14177.640757747593,-163.39369530789554,b'',1180.0956
2017-09-12 03:00:00,14177.640757747593,-163.39369530789554,b'',1151.6149
2017-09-12 04:00:00,14177.640757747593,-163.39369530789554,b'',1106.8749
2017-09-12 05:00:00,14177.640757747593,-163.39369530789554,b'',1173.5598
2017-09-12 06:00:00,14177.640757747593,-163.39369530789554,b'',1183.3472
